evaluation_date,vol_amount_26,total_balance,avg_amount_26,avg_amount_12,avg_week_amount_14,weighted_avg_day_26,avg_week_amount_20,vol_amount_13
738678,-0.48324940813514417,128.38,-275.90000000000003,-433.795,-1038.115,3.4224045979392113,-172.15,0.0
738638,0.0,78.62,0.0,-149.234,-894.78,0.0,-90.38,0.0
738645,-0.6866842452395986,-43.73,-129.408,-438.13142857142856,-684.575,0.6060830860534097,-118.98,-0.04396644971774703
738503,-0.0,1433.43,-19.98,-515.945,-1612.3799999999999,12.5,-60.32999999999999,-1.004732531560358
738458,0.0,1.15,0.0,-79.7225,-762.425,0.0,-73.965,-0.0
738498,-0.9680497635351047,483.24,-67.515,-288.42428571428565,-1088.025,3.7200251795897206,-118.535,-0.21518445052192317
738684,0.0,17.88,0.0,722.62,-1288.2,0.0,-353.975,-0.4089648095408693
738625,0.0,50.02,0.0,-403.95,-3042.775,0.0,0.0,-0.37723781133645495
738658,-0.2662303243374236,50.53,-265.095,-134.95,-457.74,0.48400573379354306,-10.66,0.0
738709,0.0,0.0,0.0,-166.235,-1498.68,0.0,-149.35,0.0
738676,0.0,231.08,0.0,-245.17714285714288,-2336.27,0.0,-103.445,-1.2576785221374382
738545,-0.0,919.92,-50.0,-227.5475,-1009.4250000000001,1.5,-103.715,-0.0
738462,0.0,-189.64,0.0,-226.32800000000003,-291.42,0.0,-32.519999999999996,-0.8282689845746316
738533,-0.0,296.54,-50.0,-492.50428571428574,-3198.63,12.5,-398.495,-0.5092167949218522
738708,0.0,-19.16,0.0,-314.6485714285714,-627.51,0.0,-714.985,0.0
738655,0.0,5.09,0.0,-217.80333333333337,-643.5,0.0,-45.14,-0.0
738733,0.0,-17.48,0.0,0.0,-1125.2849999999999,0.0,-111.33500000000001,-0.0
738687,0.0,746.38,0.0,-2459.7557142857145,-9439.66,0.0,-859.14,-0.1101469146148555
738495,-0.0,0.1,-132.0,-1040.6414285714286,-6522.04,7.5,-472.02,-0.0
738594,0.0,3.79,0.0,-456.3342857142857,-1080.32,0.0,-118.6,0.0
738506,0.0,27.57,0.0,-261.9971428571429,-453.425,0.0,-139.385,0.0
738509,0.0,41.62,0.0,0.0,-952.9300000000001,0.0,-47.54,-0.12165759282242672
738461,0.0,193.68,0.0,-1228.39,-1894.725,0.0,-333.4,0.0
738538,0.0,23.34,0.0,-27.194,-1890.21,0.0,-111.78,0.0
738687,-0.430412823330942,968.17,-57.5,-201.1542857142857,-3430.4449999999997,8.58695652173913,-197.81,-0.0
738708,0.0,62.44,0.0,0.0,-1302.1999999999998,0.0,-269.79,-0.1147273653009499
738567,0.0,25.06,0.0,-109.77999999999999,-504.19,0.0,-63.34499999999999,0.0
738454,-0.8779337743422108,72.33,-136.18428571428572,-193.96142857142857,-1115.12,2.786271753611178,-132.375,-0.43022036369493916
738503,0.0,147.02,0.0,-169.58,-638.895,0.0,-30.8,-0.0
738517,-0.22878286167487122,2494.07,-66.0,-290.49799999999993,-304.325,8.59090909090909,-105.45,-0.4762080311562049
738662,0.0,302.43,0.0,0.0,-945.99,0.0,0.0,0.0
738548,-0.24920326617022895,680.59,-304.78000000000003,-1431.6266666666668,-21728.57,1.0476015486580472,0.0,-0.7403054846106494
738488,0.0,42.67,0.0,-877.7866666666665,-908.645,0.0,-29.86,-0.7951843502698299
738511,0.0,-37.14,0.0,-73.84714285714287,-532.44,0.0,-171.36,0.0
738540,-0.0,1336.99,-35.0,-628.455,-1372.115,10.5,0.0,0.0
738547,0.0,61.13,0.0,-209.06599999999997,-517.215,0.0,-29.97,-0.5502623449964329
738524,0.0,30.29,0.0,-57.99000000000001,-258.34000000000003,0.0,-28.540000000000003,-0.0
738493,0.0,173.84,0.0,-117.82000000000001,-852.675,0.0,-42.63,0.0
738644,-0.5040954967500182,0.01,-225.60399999999998,-1168.7071428571428,-806.86,0.6674438396482358,-625.37,-0.37952037530328164
738637,0.0,299.53,0.0,-12.5,-630.2,0.0,-42.339999999999996,-0.0
738563,-0.0,951.6,-1015.24,-809.1971428571429,-1760.625,14.5,-119.92500000000001,-0.44504821369472847
738483,0.0,192.38,0.0,-98.734,-1319.81,0.0,-22.0,-0.0
738641,0.0,13.63,0.0,0.0,-1817.485,0.0,-93.60500000000002,0.0
738670,-0.3235544776386196,201.07,-80.0,-385.868,-6019.83,4.635416666666666,-344.58,0.0
738670,0.0,-24.47,0.0,-262.25,-575.665,0.0,-36.0,-0.0
738655,-0.8365559659139506,295.71,-265.7866666666667,-156.73499999999999,-3461.1,3.4651474867061296,-217.57,-0.0
738576,0.0,191.46,0.0,-17.925,-1385.97,0.0,-45.0,0.0
738470,-0.0,151.42,-25.0,-127.05999999999999,-1465.385,0.5,-226.835,0.0
738717,0.0,-2.47,0.0,-474.3833333333334,-568.38,0.0,-284.53,-0.0
738490,0.0,1468.79,0.0,-209.95,-2646.11,0.0,0.0,0.0
738528,-0.0,17.94,-184.0,0.0,-1625.1899999999998,1.5,-122.91,-0.0
738690,0.0,-0.69,0.0,-28.962,-1428.385,0.0,-94.91,-1.0101211538578492
738525,0.0,-205.0,0.0,-600.2416666666667,-3160.31,0.0,-159.96,-0.0
738667,0.0,89.02,0.0,-274.48285714285714,-1475.575,0.0,-64.77000000000001,0.0
738658,-0.0,189.29,-121.0,-69.664,-3264.27,4.5,-595.48,-0.7609133544711923
738510,0.0,-1095.6,0.0,-729.7942857142858,-2748.17,0.0,-481.94,0.0
738625,0.0,910.74,0.0,-776.7633333333332,-254.825,0.0,-7.65,0.0
738490,0.0,117.46,0.0,-653.9233333333333,-1426.76,0.0,-192.995,0.0
738455,0.0,257.16,0.0,-167.41166666666666,-637.3,0.0,0.0,0.0
738654,0.0,-29.48,0.0,-649.3328571428572,-9325.655,0.0,-442.75,-0.23972361178278928
738494,0.0,1666.86,0.0,-91.05749999999999,-1473.42,0.0,-348.5,-1.2847179433043938
738456,-0.4714045207910317,-470.7,-22.5,-365.48500000000007,-708.95,0.16666666666666607,-273.9,-0.12260717777813761
738490,-0.19933664825552863,769.41,-251.66666666666666,-344.584,-897.0799999999999,0.4205298013245038,-31.689999999999998,-0.4257628848111584
738514,0.0,131.06,0.0,-246.89166666666665,-1174.98,0.0,-67.35499999999999,0.0
738511,0.0,6.53,0.0,-96.638,-1846.1599999999999,0.0,-111.61500000000001,0.0
738664,-0.5733914389019031,159.38,-148.9175,-863.3850000000001,-5682.645,1.7456057884399065,-66.34,-0.44980679608204105
738621,0.0,708.83,0.0,0.0,-1492.115,0.0,-734.37,0.0
738728,0.0,217.96,0.0,-1165.09,-5032.94,0.0,-651.44,-0.4579872005750066
738710,0.0,-17.28,0.0,0.0,-1754.1,0.0,-829.3199999999999,0.0
738616,0.0,4.11,0.0,-125.98333333333333,-1130.05,0.0,-340.62,0.0
738560,-0.6631245434471287,4.84,-740.108,-714.5600000000001,-6065.415000000001,1.7279288968637019,-278.86,-0.6966135536888673
738605,-0.33864767800382883,1692.78,-37.0,-1609.0,-4131.139999999999,0.8693693693693696,-1259.4,-0.0
738543,-0.647662872176848,100.0,-193.236,-746.2133333333333,-5904.23,1.4836572895319708,-837.39,-0.0
738516,-0.9087089704828477,1.45,-244.2971428571429,0.0,-1492.565,3.4807260479041933,-171.77999999999997,-0.3612437405380226
738497,0.0,-424.45,0.0,-351.98400000000004,-2368.11,0.0,-87.45,-0.07737654176874376
738610,0.0,42.22,0.0,-52.99,-729.5,0.0,0.0,0.0
738730,0.0,-13.46,0.0,-105.0,-1069.345,0.0,-66.345,-0.7030773546559573
738666,0.0,-39.99,0.0,-3010.3199999999997,-1113.79,0.0,-10.145,0.0
738565,-0.7349672476075025,1.56,-51.0,-1417.6666666666667,-1569.73,6.068627450980394,-69.64,0.0
738504,-0.8533220452823648,0.23,-239.13333333333333,-51.0,-1706.5,3.568162810147758,-1072.95,0.0
